t_norm,t,f
56.24914442162902,2003-07-01,6.8
56.50102669404517,2003-10-01,4.7
56.75290896646133,2004-01-01,2.3
57.002053388090346,2004-04-01,3.1
57.25119780971937,2004-07-01,3.8
57.503080082135526,2004-10-01,4.1
57.75496235455168,2005-01-01,4.5
58.001368925393564,2005-04-01,2.0
58.25051334702259,2005-07-01,3.2
58.502395619438744,2005-10-01,2.2
58.75427789185489,2006-01-01,5.5
59.00068446269678,2006-04-01,1.0
59.2498288843258,2006-07-01,0.6
59.501711156741955,2006-10-01,3.5
59.75359342915811,2007-01-01,1.2
60.0,2007-04-01,2.5
60.24914442162902,2007-07-01,2.3
60.50102669404517,2007-10-01,2.5
60.75290896646133,2008-01-01,-1.7
61.002053388090346,2008-04-01,2.4
61.25119780971937,2008-07-01,-2.1
61.503080082135526,2008-10-01,-8.5
61.75496235455168,2009-01-01,-4.5
62.001368925393564,2009-04-01,-0.7
62.25051334702259,2009-07-01,1.4
62.502395619438744,2009-10-01,4.4
62.75427789185489,2010-01-01,1.9
63.00068446269678,2010-04-01,3.9
63.2498288843258,2010-07-01,3.1
63.501711156741955,2010-10-01,2.1
63.75359342915811,2011-01-01,-0.9
64.0,2011-04-01,2.7
64.24914442162903,2011-07-01,-0.1
64.50102669404518,2011-10-01,4.6
64.75290896646133,2012-01-01,3.4
65.00205338809035,2012-04-01,1.8
65.25119780971937,2012-07-01,0.6
65.50308008213553,2012-10-01,0.5
65.75496235455168,2013-01-01,4.0
66.00136892539356,2013-04-01,1.1
66.25051334702259,2013-07-01,3.5
66.50239561943874,2013-10-01,3.5
66.7542778918549,2014-01-01,-1.4
67.00068446269678,2014-04-01,5.3
67.24982888432581,2014-07-01,5.0
67.50171115674196,2014-10-01,2.0
67.75359342915812,2015-01-01,3.6
68.0,2015-04-01,2.5
68.24914442162903,2015-07-01,1.6
68.50102669404518,2015-10-01,0.7
68.75290896646133,2016-01-01,2.3
69.00205338809035,2016-04-01,1.3
69.25119780971937,2016-07-01,2.9
69.50308008213553,2016-10-01,2.2
69.75496235455168,2017-01-01,2.0
70.00136892539356,2017-04-01,2.3
70.25051334702259,2017-07-01,3.2
70.50239561943874,2017-10-01,4.6
70.7542778918549,2018-01-01,3.3
71.00068446269678,2018-04-01,2.1
71.24982888432581,2018-07-01,2.5
71.50171115674196,2018-10-01,0.6
71.75359342915812,2019-01-01,2.5
72.0,2019-04-01,3.4
72.24914442162903,2019-07-01,4.8
72.50102669404518,2019-10-01,2.8
72.75290896646133,2020-01-01,-5.5
73.00205338809035,2020-04-01,-28.1
73.25119780971937,2020-07-01,35.2
73.50308008213553,2020-10-01,4.4
